Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Afghanistan,33.0,65.0,2020-07-07,33384
,Afghanistan,33.0,65.0,2020-07-06,33190
,Afghanistan,33.0,65.0,2020-07-05,32951
,Afghanistan,33.0,65.0,2020-07-04,32672
,Afghanistan,33.0,65.0,2020-07-03,32324
,Afghanistan,33.0,65.0,2020-07-02,32022
,Afghanistan,33.0,65.0,2020-07-01,31836
,Afghanistan,33.0,65.0,2020-06-30,31517
,Afghanistan,33.0,65.0,2020-06-29,31238
,Afghanistan,33.0,65.0,2020-06-28,30967
,Afghanistan,33.0,65.0,2020-06-27,30616
,Afghanistan,33.0,65.0,2020-06-26,30451
,Afghanistan,33.0,65.0,2020-06-25,30175
,Afghanistan,33.0,65.0,2020-06-24,29640
,Afghanistan,33.0,65.0,2020-06-23,29481
,Afghanistan,33.0,65.0,2020-06-22,29157
,Afghanistan,33.0,65.0,2020-06-21,28833
,Afghanistan,33.0,65.0,2020-06-20,28424
,Afghanistan,33.0,65.0,2020-06-19,27878
,Afghanistan,33.0,65.0,2020-06-18,27532
,Afghanistan,33.0,65.0,2020-06-17,26874
,Afghanistan,33.0,65.0,2020-06-16,26310
,Afghanistan,33.0,65.0,2020-06-15,25527
,Afghanistan,33.0,65.0,2020-06-14,24766
,Afghanistan,33.0,65.0,2020-06-13,24102
,Afghanistan,33.0,65.0,2020-06-12,23546
,Afghanistan,33.0,65.0,2020-06-11,22890
,Afghanistan,33.0,65.0,2020-06-10,22142
,Afghanistan,33.0,65.0,2020-06-09,21459
,Afghanistan,33.0,65.0,2020-06-08,20917
,Afghanistan,33.0,65.0,2020-06-07,20342
,Afghanistan,33.0,65.0,2020-06-06,19551
,Afghanistan,33.0,65.0,2020-06-05,18969
,Afghanistan,33.0,65.0,2020-06-04,18054
,Afghanistan,33.0,65.0,2020-06-03,17267
,Afghanistan,33.0,65.0,2020-06-02,16509
