Country,Population_thousands
Afghanistan,34656
Albania,2926
Algeria,40606
Andorra,77
Angola,28813
Antigua and Barbuda,101
Argentina,43847
Armenia,2925
Australia,24126
Austria,8712
Azerbaijan,9725
Bahamas,391
Bahrain,1425
Bangladesh,162952
Barbados,285
Belarus,9480
Belgium,11358
Belize,367
Benin,10872
Bhutan,798
Bolivia,10888
Bosnia and Herzegovina,3517
Brazil,207653
Brunei,423
Bulgaria,7131
Burkina Faso,18646
Burma,52885
Cabo Verde,540
Cambodia,15762
Cameroon,23439
Canada,36290
Central African Republic,4595
Chad,14453
Chile,17910
China,1411415
Colombia,48653
Congo (Brazzaville),5126
Congo (Kinshasa),78736
Costa Rica,4857
Cote d'Ivoire,23696
Croatia,4213
Cuba,11476
Cyprus,1170
Czechia,10611
Denmark,5712
Diamond Princess,4
Djibouti,942
Dominica,74
Dominican Republic,10649
Ecuador,16385
Egypt,95689
El Salvador,6345
Equatorial Guinea,1221
Eritrea,4955
Estonia,1312
Eswatini,1343
Ethiopia,102403
Fiji,899
Finland,5503
France,64721
Gabon,1980
Gambia,2039
Georgia,3925
Germany,81915
Ghana,28207
Greece,11184
Grenada,107
Guatemala,16582
Guinea,12396
Guinea-Bissau,1816
Guyana,773
Haiti,10847
Holy See,1
Honduras,9113
Hungary,9753
Iceland,332
India,1324171
Indonesia,261115
Iran,80277
Iraq,37203
Ireland,4726
Israel,8192
Italy,59430
Jamaica,2881
Japan,127749
Jordan,9456
Kazakhstan,17988
Kenya,48462
"Korea, South",51470
Kosovo,1831
Kuwait,4053
Kyrgyzstan,5956
Laos,6758
Latvia,1971
Lebanon,6007
Liberia,4732
Libya,6293
Liechtenstein,39
Lithuania,2908
Luxembourg,576
Madagascar,24895
Malaysia,31187
Maldives,428
Mali,17995
Malta,429
Mauritania,4301
Mauritius,1262
Mexico,127540
Moldova,4060
Monaco,38
Mongolia,3027
Montenegro,629
Morocco,35277
Mozambique,28829
MS Zaandam,2
Namibia,2480
Nepal,28983
Netherlands,16987
New Zealand,4661
Nicaragua,6150
Niger,20673
Nigeria,185990
North Macedonia,2081
Norway,5255
Oman,4425
Pakistan,193203
Panama,4034
Papua New Guinea,8085
Paraguay,6725
Peru,31774
Philippines,103320
Poland,38224
Portugal,10372
Qatar,2570
Romania,19778
Russia,143965
Rwanda,11918
Saint Kitts and Nevis,55
Saint Lucia,178
Saint Vincent and the Grenadines,110
San Marino,33
Saudi Arabia,32276
Senegal,15412
Serbia,8820
Seychelles,94
Singapore,5622
Slovakia,5444
Slovenia,2078
Somalia,14318
South Africa,56015
Spain,46348
Sri Lanka,20798
Sudan,39579
Suriname,558
Sweden,9838
Switzerland,8402
Syria,18430
Taiwan*,23780
Tanzania,55572
Thailand,68864
Timor-Leste,1269
Togo,7606
Trinidad and Tobago,1365
Tunisia,11403
Turkey,79512
Uganda,41488
Ukraine,44439
United Arab Emirates,9270
United Kingdom,65789
Uruguay,3444
US,322180
Uzbekistan,31447
Venezuela,31568
Vietnam,94569
West Bank and Gaza,4685
Zambia,16591
Zimbabwe,16150
