"Date","Country","Status","Color","Type","Value"
2022-07-03,"US","Confirmed","#D6604D","Total Count",87843561
2022-07-03,"US","Confirmed","#D6604D","Count per 10K",2726.53674964306
2022-07-03,"US","Confirmed","#D6604D","New Cases per 10K",0.153268359302253
2022-07-03,"India","Confirmed","#D6604D","Total Count",43518564
2022-07-03,"India","Confirmed","#D6604D","Count per 10K",328.647614243176
2022-07-03,"India","Confirmed","#D6604D","New Cases per 10K",0.121849821510968
2022-07-03,"Brazil","Confirmed","#D6604D","Total Count",32490422
2022-07-03,"Brazil","Confirmed","#D6604D","Count per 10K",1564.64977630952
2022-07-03,"Brazil","Confirmed","#D6604D","New Cases per 10K",0.894521148261764
2022-07-03,"France","Confirmed","#D6604D","Total Count",31410383
2022-07-03,"France","Confirmed","#D6604D","Count per 10K",4853.198034641
2022-07-03,"France","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Germany","Confirmed","#D6604D","Total Count",28394995
2022-07-03,"Germany","Confirmed","#D6604D","Count per 10K",3466.39748519807
2022-07-03,"Germany","Confirmed","#D6604D","New Cases per 10K",0.288713910761155
2022-07-03,"United Kingdom","Confirmed","#D6604D","Total Count",22941362
2022-07-03,"United Kingdom","Confirmed","#D6604D","Count per 10K",3487.11213120734
2022-07-03,"United Kingdom","Confirmed","#D6604D","New Cases per 10K",0.000304002188815759
2022-07-03,"Italy","Confirmed","#D6604D","Total Count",18768871
2022-07-03,"Italy","Confirmed","#D6604D","Count per 10K",3158.14756856806
2022-07-03,"Italy","Confirmed","#D6604D","New Cases per 10K",12.2693925626788
2022-07-03,"Korea, South","Confirmed","#D6604D","Total Count",18395864
2022-07-03,"Korea, South","Confirmed","#D6604D","Count per 10K",3574.09442393627
2022-07-03,"Korea, South","Confirmed","#D6604D","New Cases per 10K",1.21488245579949
2022-07-03,"Russia","Confirmed","#D6604D","Total Count",18170656
2022-07-03,"Russia","Confirmed","#D6604D","Count per 10K",1262.15788559719
2022-07-03,"Russia","Confirmed","#D6604D","New Cases per 10K",0.212065432570416
2022-07-03,"Turkey","Confirmed","#D6604D","Total Count",15123331
2022-07-03,"Turkey","Confirmed","#D6604D","Count per 10K",1902.01868900292
2022-07-03,"Turkey","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Spain","Confirmed","#D6604D","Total Count",12818184
2022-07-03,"Spain","Confirmed","#D6604D","Count per 10K",2765.63907827738
2022-07-03,"Spain","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Vietnam","Confirmed","#D6604D","Total Count",10748639
2022-07-03,"Vietnam","Confirmed","#D6604D","Count per 10K",1136.59222366738
2022-07-03,"Vietnam","Confirmed","#D6604D","New Cases per 10K",0.0541403631211073
2022-07-03,"Argentina","Confirmed","#D6604D","Total Count",9394326
2022-07-03,"Argentina","Confirmed","#D6604D","Count per 10K",2142.52423198851
2022-07-03,"Argentina","Confirmed","#D6604D","New Cases per 10K",6.19289803179237
2022-07-03,"Japan","Confirmed","#D6604D","Total Count",9388222
2022-07-03,"Japan","Confirmed","#D6604D","Count per 10K",734.895928735254
2022-07-03,"Japan","Confirmed","#D6604D","New Cases per 10K",1.82138412042364
2022-07-03,"Netherlands","Confirmed","#D6604D","Total Count",8296406
2022-07-03,"Netherlands","Confirmed","#D6604D","Count per 10K",4883.97362689115
2022-07-03,"Netherlands","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Australia","Confirmed","#D6604D","Total Count",8254847
2022-07-03,"Australia","Confirmed","#D6604D","Count per 10K",3421.55641216944
2022-07-03,"Australia","Confirmed","#D6604D","New Cases per 10K",12.3199038381829
2022-07-03,"Iran","Confirmed","#D6604D","Total Count",7239557
2022-07-03,"Iran","Confirmed","#D6604D","Count per 10K",901.822066096142
2022-07-03,"Iran","Confirmed","#D6604D","New Cases per 10K",0.0893157442355843
2022-07-03,"Colombia","Confirmed","#D6604D","Total Count",6175181
2022-07-03,"Colombia","Confirmed","#D6604D","Count per 10K",1269.22923560726
2022-07-03,"Colombia","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Indonesia","Confirmed","#D6604D","Total Count",6093917
2022-07-03,"Indonesia","Confirmed","#D6604D","Count per 10K",233.380579438179
2022-07-03,"Indonesia","Confirmed","#D6604D","New Cases per 10K",0.0618118453554947
2022-07-03,"Mexico","Confirmed","#D6604D","Total Count",6089600
2022-07-03,"Mexico","Confirmed","#D6604D","Count per 10K",477.46589305316
2022-07-03,"Mexico","Confirmed","#D6604D","New Cases per 10K",2.42363180178767
2022-07-03,"Poland","Confirmed","#D6604D","Total Count",6016407
2022-07-03,"Poland","Confirmed","#D6604D","Count per 10K",1573.98676224362
2022-07-03,"Poland","Confirmed","#D6604D","New Cases per 10K",0.0413352867308497
2022-07-03,"Portugal","Confirmed","#D6604D","Total Count",5171236
2022-07-03,"Portugal","Confirmed","#D6604D","Count per 10K",4985.76552256074
2022-07-03,"Portugal","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Ukraine","Confirmed","#D6604D","Total Count",5040518
2022-07-03,"Ukraine","Confirmed","#D6604D","Count per 10K",1134.2554962983
2022-07-03,"Ukraine","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Malaysia","Confirmed","#D6604D","Total Count",4573891
2022-07-03,"Malaysia","Confirmed","#D6604D","Count per 10K",1466.60178920704
2022-07-03,"Malaysia","Confirmed","#D6604D","New Cases per 10K",0.813159329207683
2022-07-03,"Thailand","Confirmed","#D6604D","Total Count",4532100
2022-07-03,"Thailand","Confirmed","#D6604D","Count per 10K",658.123257434944
