"Date","Country","Continent","PopulationCategory","Status","Color","Type","Value"
2022-07-05,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182793
2022-07-05,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.527449792243767
2022-07-05,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",0
2022-07-05,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0
2022-07-04,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182793
2022-07-04,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.527449792243767
2022-07-04,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",69
2022-07-04,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.019909972299169
2022-07-03,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182724
2022-07-03,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.527250692520776
2022-07-03,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",81
2022-07-03,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0233725761772853
2022-07-02,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182643
2022-07-02,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.527016966759003
2022-07-02,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",49
2022-07-02,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0141389658356417
2022-07-01,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182594
2022-07-01,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.526875577100646
2022-07-01,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",66
2022-07-01,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0190443213296399
2022-06-30,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182528
2022-06-30,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.52668513388735
2022-06-30,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",125
2022-06-30,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0360687903970452
2022-06-29,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182403
2022-06-29,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.526324445983379
2022-06-29,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",79
2022-06-29,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0227954755309326
2022-06-28,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182324
2022-06-28,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.52609649122807
2022-06-28,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",96
2022-06-28,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0277008310249307
2022-06-27,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182228
2022-06-27,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.525819482917821
2022-06-27,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",79
2022-06-27,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0227954755309326
2022-06-26,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182149
2022-06-26,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.525591528162512
2022-06-26,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",77
2022-06-26,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0222183748845799
2022-06-25,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182072
2022-06-25,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.525369344413666
2022-06-25,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",39
2022-06-25,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0112534626038781
2022-06-24,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",182033
2022-06-24,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.525256809787627
2022-06-24,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",46
2022-06-24,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0132733148661126
2022-06-23,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181987
2022-06-23,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.525124076638966
2022-06-23,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",75
2022-06-23,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0216412742382271
2022-06-22,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181912
2022-06-22,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.524907663896584
2022-06-22,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",104
2022-06-22,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0300092336103416
2022-06-21,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181808
2022-06-21,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.52460757156048
2022-06-21,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",83
2022-06-21,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.023949676823638
2022-06-20,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181725
2022-06-20,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.524368074792244
2022-06-20,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",59
2022-06-20,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0170244690674054
2022-06-19,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181666
2022-06-19,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.52419783010157
2022-06-19,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",92
2022-06-19,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0265466297322253
2022-06-18,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181574
2022-06-18,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.523932363804247
2022-06-18,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",40
2022-06-18,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0115420129270545
2022-06-17,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181534
2022-06-17,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.523816943674977
2022-06-17,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",69
2022-06-17,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.019909972299169
2022-06-16,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181465
2022-06-16,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.523617843951985
2022-06-16,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",229
2022-06-16,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0660780240073869
2022-06-15,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181236
2022-06-15,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.522957063711911
2022-06-15,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",58
2022-06-15,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.016735918744229
2022-06-14,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181178
2022-06-14,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.522789704524469
2022-06-14,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",58
2022-06-14,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.016735918744229
2022-06-13,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",181120
2022-06-13,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.522622345337027
2022-06-13,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",256
2022-06-13,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0738688827331487
2022-06-12,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",180864
2022-06-12,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.521883656509695
2022-06-12,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",0
2022-06-12,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0
2022-06-11,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",180864
2022-06-11,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.521883656509695
2022-06-11,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",0
2022-06-11,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0
2022-06-10,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",180864
2022-06-10,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.521883656509695
2022-06-10,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",0
2022-06-10,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0
2022-06-09,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",180864
2022-06-09,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.521883656509695
2022-06-09,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",80
2022-06-09,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.023084025854109
2022-06-08,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",180784
2022-06-08,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.521652816251154
2022-06-08,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",43
2022-06-08,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0124076638965836
2022-06-07,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",180741
2022-06-07,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.521528739612188
2022-06-07,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",53
2022-06-07,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0152931671283472
2022-06-06,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative Count",180688
2022-06-06,"Afghanistan",2,2,"Confirmed","#D6604D","Cumulative % of Population",0.521375807940905
2022-06-06,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases",73
2022-06-06,"Afghanistan",2,2,"Confirmed","#D6604D","New Cases per 10,000",0.0210641735918744
2022-07-05,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7725
2022-07-05,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.022290512465374
2022-07-05,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-07-05,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
2022-07-04,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7725
2022-07-04,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.022290512465374
2022-07-04,"Afghanistan",2,2,"Fatal","#202226","New Cases",1
2022-07-04,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0.000288550323176362
2022-07-03,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7724
2022-07-03,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222876269621422
2022-07-03,"Afghanistan",2,2,"Fatal","#202226","New Cases",1
2022-07-03,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0.000288550323176362
2022-07-02,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7723
2022-07-02,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222847414589104
2022-07-02,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-07-02,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
2022-07-01,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7723
2022-07-01,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222847414589104
2022-07-01,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-07-01,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
2022-06-30,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7723
2022-06-30,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222847414589104
2022-06-30,"Afghanistan",2,2,"Fatal","#202226","New Cases",1
2022-06-30,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0.000288550323176362
2022-06-29,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7722
2022-06-29,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222818559556787
2022-06-29,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-06-29,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
2022-06-28,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7722
2022-06-28,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222818559556787
2022-06-28,"Afghanistan",2,2,"Fatal","#202226","New Cases",2
2022-06-28,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0.000577100646352724
2022-06-27,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7720
2022-06-27,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222760849492151
2022-06-27,"Afghanistan",2,2,"Fatal","#202226","New Cases",3
2022-06-27,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0.000865650969529086
2022-06-26,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7717
2022-06-26,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222674284395199
2022-06-26,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-06-26,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
2022-06-25,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7717
2022-06-25,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222674284395199
2022-06-25,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-06-25,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
2022-06-24,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7717
2022-06-24,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222674284395199
2022-06-24,"Afghanistan",2,2,"Fatal","#202226","New Cases",2
2022-06-24,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0.000577100646352724
2022-06-23,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7715
2022-06-23,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222616574330563
2022-06-23,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-06-23,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
2022-06-22,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7715
2022-06-22,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222616574330563
2022-06-22,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-06-22,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
2022-06-21,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7715
2022-06-21,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222616574330563
2022-06-21,"Afghanistan",2,2,"Fatal","#202226","New Cases",1
2022-06-21,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0.000288550323176362
2022-06-20,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7714
2022-06-20,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222587719298246
2022-06-20,"Afghanistan",2,2,"Fatal","#202226","New Cases",1
2022-06-20,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0.000288550323176362
2022-06-19,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7713
2022-06-19,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222558864265928
2022-06-19,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-06-19,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
2022-06-18,"Afghanistan",2,2,"Fatal","#202226","Cumulative Count",7713
2022-06-18,"Afghanistan",2,2,"Fatal","#202226","Cumulative % of Population",0.0222558864265928
2022-06-18,"Afghanistan",2,2,"Fatal","#202226","New Cases",0
2022-06-18,"Afghanistan",2,2,"Fatal","#202226","New Cases per 10,000",0
